import time: self [us] | cumulative | imported package
import time:        80 |         80 |                           torch.autograd.variable
import time:       538 |        618 |                         torch.autograd.graph
import time:        99 |         99 |                         torch.autograd.anomaly_mode
import time:        89 |         89 |                               torch._functorch.utils
import time:       112 |        112 |                                 torch._functorch.predispatch
import time:       164 |        275 |                               torch._functorch.vmap
import time:       111 |        474 |                             torch._functorch.apis
import time:      3519 |       3993 |                           torch._functorch.autograd_function
import time:       393 |       4385 |                         torch.autograd.function
import time:       107 |        107 |                             torch.testing._utils
import time:       263 |        263 |                               cmath
import time:      3893 |       4155 |                             torch.testing._comparison
import time:       208 |        208 |                             torch.testing._creation
import time:       144 |       4614 |                           torch.testing
import time:       602 |       5215 |                         torch.autograd.gradcheck
import time:       216 |        216 |                             _uuid
import time:       322 |        538 |                           uuid
import time:       492 |        492 |                           torch.autograd.profiler_util
import time:      3767 |       4797 |                         torch.autograd.profiler
import time:      1270 |      45968 |                       torch.autograd
import time:       154 |      46122 |                     torch.autograd.profiler_legacy
import time:       115 |      46236 |                   torch.distributed.rpc.server_process_global_profiler
import time:      3720 |      51907 |                 torch.distributed.rpc
import time:       429 |        429 |                             pickletools
import time:       115 |        115 |                             torch.package._digraph
import time:        88 |         88 |                             torch.package._importlib
import time:        61 |         61 |                             torch.package._mangling
import time:       167 |        167 |                               torch.package.importer
import time:        94 |        261 |                             torch.package._package_pickler
import time:        77 |         77 |                             torch.package._stdlib
import time:        81 |         81 |                             torch.package.find_file_dependencies
import time:        69 |         69 |                             torch.package.glob_group
import time:       741 |       1919 |                           torch.package.package_exporter
import time:        76 |       1995 |                         torch.package.analyze.find_first_use_of_broken_modules
import time:        92 |         92 |                         torch.package.analyze.trace_dependencies
import time:       118 |       2205 |                       torch.package.analyze
import time:       224 |       2428 |                     torch.package.analyze.is_from_package
import time:      3143 |       3143 |                     torch.package.file_structure_representation
import time:        72 |         72 |                       torch.package._directory_reader
import time:        53 |         53 |                       torch.package._package_unpickler
import time:       298 |        421 |                     torch.package.package_importer
import time:        81 |       6071 |                   torch.package
import time:        14 |       6085 |                 torch.package._mangling
import time:       144 |        144 |                 torch._awaits
import time:       407 |      58542 |               torch._jit_internal
import time:      1225 |       1225 |               torch._torch_docs
import time:        87 |         87 |               torch.nn._reduction
import time:        64 |         64 |                 torch.nn.modules.utils
import time:        68 |        132 |               torch.nn.grad
import time:     10988 |      70972 |             torch.nn.functional
import time:       244 |        244 |             torch.nn.init
import time:       178 |        178 |             torch.nn.modules.lazy
import time:       268 |      71661 |           torch.nn.modules.linear
import time:       390 |        390 |           torch.nn.modules.activation
import time:       318 |        318 |             torch.nn.modules.container
import time:       228 |        546 |           torch.nn.modules.adaptive
import time:       146 |        146 |             torch.nn.modules._functions
import time:       440 |        586 |           torch.nn.modules.batchnorm
import time:       110 |        110 |           torch.nn.modules.channelshuffle
import time:       341 |        341 |             torch.nn.common_types
import time:      3551 |       3891 |           torch.nn.modules.conv
import time:       145 |        145 |           torch.nn.modules.distance
import time:       154 |        154 |           torch.nn.modules.dropout
